label 2, frequency 17979
label 3, frequency 3753
label 4, frequency 20228
label 5, frequency 16003
label 6, frequency 17535
label 7, frequency 5414
label 8, frequency 2937
label 9, frequency 10007
label 11, frequency 14398
label 12, frequency 4
label 13, frequency 79
label 14, frequency 4334
label 15, frequency 4354
label 16, frequency 8758
label 17, frequency 108
label 18, frequency 153
label 19, frequency 4824
label 20, frequency 6
label 22, frequency 6780
label 23, frequency 4381
label 24, frequency 4356
label 25, frequency 12
label 26, frequency 1669
label 28, frequency 71
label 30, frequency 2771
label 31, frequency 802
label 32, frequency 1136
label 33, frequency 3
label 34, frequency 6
label 35, frequency 113
label 36, frequency 30
label 38, frequency 3397
label 40, frequency 514
label 41, frequency 1340
label 42, frequency 3084
label 44, frequency 2960
label 45, frequency 992
label 47, frequency 1130
label 48, frequency 2594
label 50, frequency 225
label 51, frequency 8
label 52, frequency 56
label 53, frequency 579
label 54, frequency 153
label 55, frequency 75
label 57, frequency 1176
label 58, frequency 510
label 59, frequency 114
label 60, frequency 361
label 61, frequency 3247
label 62, frequency 1528
label 63, frequency 9400
label 64, frequency 11
label 65, frequency 4
label 66, frequency 19
label 68, frequency 49
label 69, frequency 7
label 72, frequency 92
label 73, frequency 160
label 75, frequency 81
label 76, frequency 41
label 77, frequency 4242
label 78, frequency 1235
label 79, frequency 12
label 80, frequency 42
label 81, frequency 5536
label 82, frequency 822
label 83, frequency 46
label 85, frequency 28
label 86, frequency 81
label 88, frequency 25
label 89, frequency 23
label 90, frequency 4535
label 93, frequency 1338
label 94, frequency 631
label 95, frequency 55
label 96, frequency 90
label 97, frequency 238
label 98, frequency 3047
label 99, frequency 356
label 102, frequency 75
label 103, frequency 22
label 104, frequency 1680
label 107, frequency 3
label 108, frequency 64
label 109, frequency 294
label 110, frequency 363
label 111, frequency 1628
label 112, frequency 1089
label 115, frequency 112
label 116, frequency 286
label 117, frequency 308
label 119, frequency 1218
label 120, frequency 19
label 121, frequency 218
label 122, frequency 179
label 124, frequency 67
label 125, frequency 417
label 126, frequency 664
label 130, frequency 1599
label 132, frequency 406
label 133, frequency 463
